States/UTs,2006,2007,2008,2009,2010,2011,2012,2013,2014
Andhra Pradesh,37003,38079,39851,33569,33742,34196,34036,33305,21519
Arunachal Pradesh,105,284,88,337,190,198,172,94,98
Assam,2744,2669,2358,2437,3141,2819,2568,2980,3019
Bihar,2160,4122,3755,4278,5248,3907,3815,3982,3350
Chhattisgarh,5840,7014,7456,8036,8112,8273,7886,7342,7642
Goa,2010,2013,1795,1735,1297,1434,1297,1086,1076
Gujarat,22331,23491,20981,21153,21098,19867,18100,15974,14627
Haryana,6674,7364,7604,7593,7304,7166,7050,6933,6806
Himachal Pradesh,3248,3781,3073,3578,3296,3415,3529,3361,3757
Jammu & Kashmir,6034,5479,4020,4888,4827,6678,6844,6410,5979
Jharkhand,2020,2694,2532,2750,2912,2824,2889,2269,2097
Karnataka,36974,37197,39253,38855,36604,39981,39769,37510,37609
Kerala,30812,29346,26676,25183,25195,25138,25464,24511,24967
Madhya Pradesh,23525,21619,26966,30687,30912,29500,30454,30920,27261
Maharashtra,29955,27464,32224,32144,25400,28366,27185,26314,24488
Manipur,325,293,353,918,608,775,460,794,1060
Meghalaya,225,218,218,590,304,325,81,118,133
Mizoram,94,10,39,87,139,172,126,185,151
Nagaland,71,75,120,44,0,0,7,19,31
Odisha,5160,6289,5568,6256,5814,5932,5909,6023,6049
Punjab,2945,2358,2635,2922,2489,2709,2654,2761,2535
Rajasthan,15756,20913,21001,22353,20865,18141,18829,18363,18084
Sikkim,316,213,200,265,326,220,213,283,118
Tamil Nadu,33204,38513,38054,38880,45294,45116,48033,43999,43855
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,11684
Tripura,1102,859,1198,1108,1036,746,807,770,781
Uttarakhand,1265,1200,1086,878,817,937,793,895,880
Uttar Pradesh,7789,7683,9707,10996,10233,6554,9721,10381,9641
West Bengal,6349,6401,6988,6778,7169,7033,7303,7225,6094
Andaman & Nicobar Islands,126,101,80,152,232,240,217,171,139
Chandigarh,39,46,68,26,62,40,47,67,26
Dadra & Nagar Haveli,97,65,86,56,114,196,112,53,82
Daman & Diu,33,49,38,46,34,30,27,51,23
Delhi,612,0,0,0,0,0,0,0,0
Lakshadweep,7,2,7,3,5,0,3,2,1
Puducherry,1041,1101,911,858,695,922,221,718,371
All India,287991,299005,306989,310439,305514,303850,306621,295869,286033
