States/UTs,2006,2007,2008,2009,2010,2011,2012,2013,2014
Andhra Pradesh,8523,8534,9153,9388,10350,9736,10188,9607,5765
Arunachal Pradesh,43,61,30,84,90,60,57,15,24
Assam,871,604,784,857,841,936,953,1119,1036
Bihar,1533,2377,2452,2853,3451,2852,2596,2961,2812
Chhattisgarh,1322,1551,1919,1820,1854,1830,2043,2291,2561
Goa,192,184,168,174,159,182,176,153,163
Gujarat,4637,5323,4931,5358,5640,6118,5973,5817,6154
Haryana,2851,3014,3044,3087,3100,3118,2998,3021,3116
Himachal Pradesh,589,733,617,766,809,818,863,767,901
Jammu & Kashmir,688,657,527,708,620,689,706,662,690
Jharkhand,1029,1334,1126,1338,1580,1528,1674,1620,1277
Karnataka,4593,5280,5604,5625,6019,6042,6231,6459,7445
Kerala,1770,2219,2283,2241,2311,2425,2507,2490,2368
Madhya Pradesh,3169,3817,3867,4809,4862,5027,4927,4822,3659
Maharashtra,7283,7126,7885,7863,7573,9059,9199,9028,8712
Manipur,61,37,34,106,88,102,65,120,139
Meghalaya,107,88,91,115,120,134,69,60,74
Mizoram,32,19,18,32,49,58,49,73,61
Nagaland,21,35,27,19,0,0,17,8,22
Odisha,1547,1791,1736,2056,2140,2014,1998,2196,2210
Punjab,2117,1951,2087,2476,2362,3339,3500,3051,2982
Rajasthan,4106,5666,5983,6519,6501,6289,6597,6856,7217
Sikkim,59,45,61,63,61,73,36,41,19
Tamil Nadu,6159,6088,6466,7468,9572,9200,9835,9767,9481
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,3921
Tripura,124,148,169,183,183,154,166,112,114
Uttarakhand,607,543,638,410,474,488,434,417,469
Uttar Pradesh,6662,6479,7159,8020,7570,14865,8310,8147,6585
West Bengal,2439,2501,2033,2822,2865,2916,2811,3051,2908
Andaman & Nicobar Islands,11,8,10,15,19,13,18,27,7
Chandigarh,9,12,15,16,16,34,22,24,13
Dadra & Nagar Haveli,37,49,57,40,52,56,46,27,50
Daman & Diu,21,15,23,26,25,27,20,23,10
Delhi,279,0,0,0,0,0,0,0,0
Lakshadweep,1,0,0,2,0,0,0,0,0
Puducherry,138,157,145,120,108,106,47,137,43
All India,63630,68446,71142,77479,81464,90288,85131,84969,83008
