States/UTs,Over-Speeding - Number of Accidents - Number,Over-Speeding - Number of Accidents - Rank,Over-Speeding - Persons Killed - Number,Over-Speeding - Persons Killed - Rank,Over-Speeding - Persons Injured - Greviously Injured,Over-Speeding - Persons Injured - Minor Injury,Over-Speeding - Persons Injured - Total Injured,Drunken Driving/ Consumption of alcohol and drug  - Number of Accidents,Drunken Driving/ Consumption of alcohol and drug  - Persons Killed,Drunken Driving/ Consumption of alcohol and drug  - Persons Injured - Greviously Injured,Drunken Driving/ Consumption of alcohol and drug  - Persons Injured - Minor Injury,Drunken Driving/ Consumption of alcohol and drug  - Persons Injured - Total Injured,Driving on Wrong side - Number of Accidents,Driving on Wrong side - Persons Killed,Driving on Wrong side - Persons Injured - Greviously Injured,Driving on Wrong side - Persons Injured - Minor Injury,Driving on Wrong side - Persons Injured - Total Injured,Jumping Red Light - Number of Accidents,Jumping Red Light - Persons Killed,Jumping Red Light - Persons Injured - Greviously Injured,Jumping Red Light - Persons Injured - Minor Injury,Jumping Red Light - Persons Injured - Total Injured,Use of Mobile Phone - Number of Accidents,Use of Mobile Phone - Persons Killed,Use of Mobile Phone - Persons Injured - Greviously Injured,Use of Mobile Phone - Persons Injured - Minor Injury,Use of Mobile Phone - Persons Injured - Total Injured,Others - Number of Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured
Andhra Pradesh,17188,7,6513,9,4720,11985,16705,121,50,12,52,64,540,158,171,357,528,60,4,31,13,44,134,34,30,102,132,3513,1427,633,2934,3567
Arunachal Pradesh,119,30,70,28,104,36,140,56,32,54,24,78,41,22,36,17,53,0,0,0,0,0,7,2,4,4,8,60,31,39,29,68
Assam,5023,15,2126,17,3554,368,3922,677,318,526,26,552,528,187,378,59,437,113,29,91,10,101,267,49,208,19,227,803,327,455,69,524
Bihar,2886,19,2284,15,2292,56,2348,51,12,46,5,51,1134,903,963,24,987,0,0,0,0,0,113,92,148,1,149,5369,4369,4124,287,4411
Chhattisgarh,10306,11,4602,10,1290,7525,8815,74,28,3,89,92,580,253,70,382,452,60,4,2,49,51,20,8,3,19,22,1335,476,173,1078,1251
Goa,2460,20,203,23,183,602,785,9,0,3,0,3,113,3,10,11,21,17,1,1,0,1,0,0,0,0,0,250,19,21,12,33
Gujarat,14351,10,7168,7,7298,5317,12615,64,15,27,30,57,576,203,396,327,723,6,1,0,4,4,129,37,73,132,205,60,28,55,31,86
Haryana,6099,13,2986,13,839,3955,4794,75,31,6,56,62,546,203,112,369,481,1,0,0,0,0,109,45,8,90,98,3103,1441,997,1689,2686
Himachal Pradesh,956,23,408,22,490,859,1349,67,22,27,60,87,221,64,134,205,339,0,0,0,0,0,45,21,22,39,61,1115,537,564,1054,1618
Jharkhand,3689,18,2724,14,2022,421,2443,304,223,174,74,248,214,151,103,36,139,38,27,9,2,11,99,79,82,18,100,384,309,212,74,286
Karnataka,31485,3,9101,4,17175,19341,36516,190,99,68,87,155,962,234,683,915,1598,94,2,47,124,171,10,1,6,2,8,1906,601,1354,952,2306
Kerala,19735,5,1885,18,15867,6169,22036,83,20,42,35,77,1729,103,1430,640,2070,50,1,34,25,59,46,3,33,14,47,11653,1417,9089,3397,12486
Madhya Pradesh,36895,2,9541,3,4409,33176,37585,2065,332,297,1348,1645,3712,717,653,3086,3739,354,29,85,224,309,1043,279,189,899,1088,4808,1159,452,4138,4590
Maharashtra,20860,4,9829,2,11369,4558,15927,257,94,140,97,237,808,376,466,253,719,9,0,8,2,10,6,2,3,0,3,7537,3227,4087,2088,6175
Manipur,206,27,59,30,80,206,286,14,9,2,13,15,21,6,8,17,25,0,0,0,0,0,42,0,0,58,58,83,36,58,62,120
Meghalaya,116,31,82,27,77,57,134,14,23,37,7,44,22,8,11,17,28,0,0,0,0,0,0,0,0,0,0,93,74,41,16,57
Mizoram,38,34,32,31,24,24,48,14,11,4,2,6,7,2,3,1,4,0,0,0,0,0,1,1,4,3,7,9,10,0,0,0
Nagaland,334,26,30,32,48,87,135,143,0,45,52,97,53,0,10,22,32,0,0,0,0,0,0,0,0,0,0,216,25,19,97,116
Orissa,7654,12,3655,11,3909,2711,6620,246,83,154,97,251,934,381,547,396,943,64,16,32,20,52,352,126,223,132,355,1733,820,882,679,1561
Punjab,4183,16,3276,12,1407,757,2164,120,107,62,15,77,738,522,292,168,460,155,104,50,30,80,133,93,56,27,83,542,487,165,43,208
Rajasthan,17094,8,8236,6,3841,11809,15650,135,54,31,101,132,1110,495,340,753,1093,9,3,2,6,8,52,38,38,29,67,2551,1217,924,1470,2394
