States/UTs,Sunny/Clear - Total Accidents - Number,Sunny/Clear - Total Accidents - Rank,Sunny/Clear - Persons Killed - Number,Sunny/Clear - Persons Killed - Rank,Sunny/Clear - Persons Injured - Greviously Injured,Sunny/Clear - Persons Injured - Minor Injury,Sunny/Clear - Persons Injured - Total Injured ,Rainy - Total Accidents,Rainy - Persons Killed,Rainy - Persons Injured - Greviously Injured,Rainy - Persons Injured - Minor Injury,Rainy - Persons Injured - Total Injured ,Foggy and Misty - Total Accidents,Foggy and Misty - Persons Killed,Foggy and Misty - Persons Injured - Greviously Injured,Foggy and Misty - Persons Injured - Minor Injury,Foggy and Misty - Persons Injured - Total Injured ,Hail/Sleet - Total Accidents,Hail/Sleet - Persons Killed,Hail/Sleet - Persons Injured - Greviously Injured,Hail/Sleet - Persons Injured - Minor Injury,Hail/Sleet - Persons Injured - Total Injured ,Others - Total Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured 
Andhra Pradesh,17232,7,6592,7,3922,12712,16634,1327,450,563,818,1381,1211,464,562,678,1240,185,49,129,89,218,1601,631,421,1146,1567
Arunachal Pradesh,108,31,60,28,85,28,113,70,38,52,19,71,47,30,48,23,71,26,13,28,21,49,32,16,24,19,43
Assam,3428,17,1542,18,2237,203,2440,1365,509,1051,103,1154,1191,415,818,113,931,205,64,215,16,231,1222,506,891,116,1007
Bihar,5268,14,4256,10,4122,256,4378,2085,1604,1562,80,1642,2200,1800,1889,37,1926,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,8872,11,3744,11,1116,6569,7685,1416,569,186,938,1124,297,112,31,238,269,29,13,4,23,27,1761,933,204,1374,1578
Goa,2643,19,211,23,201,585,786,206,15,17,40,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,13006,10,6322,8,6730,4927,11657,1149,553,628,588,1216,469,284,215,180,395,7,7,4,0,4,555,286,272,146,418
Haryana,4726,15,2173,16,818,2819,3637,1114,529,207,672,879,1530,735,227,975,1202,72,63,3,59,62,2491,1206,707,1634,2341
Himachal Pradesh,2158,22,925,19,1124,1944,3068,120,63,57,139,196,21,11,9,28,37,6,12,1,4,5,99,41,46,102,148
Jharkhand,2242,21,1618,17,1252,294,1546,771,529,516,105,621,692,527,318,135,453,181,134,84,20,104,842,705,432,71,503
Karnataka,28839,3,8325,5,16063,18223,34286,3821,1066,2104,2138,4242,1987,647,1166,1060,2226,0,0,0,0,0,0,0,0,0,0
