States/UTs,Pedestrian - Number of Road Accidents,Pedestrian - Number of Persons - Killed,Pedestrian - Number of Persons - Greviously Injured,Pedestrian - Number of Persons - Minor Injured,Bicycles - Number of Road Accidents,Bicycles - Number of Persons - Killed,Bicycles - Number of Persons - Greviously Injured,Bicycles - Number of Persons - Minor Injured,Two Wheelers - Number of Road Accidents,Two Wheelers - Number of Persons - Killed,Two Wheelers - Number of Persons - Greviously Injured,Two Wheelers - Number of Persons - Minor Injured,Auto Rickshaws - Number of Road Accidents,Auto Rickshaws - Number of Persons - Killed,Auto Rickshaws - Number of Persons - Greviously Injured,Auto Rickshaws - Number of Persons - Minor Injured,"Cars, Taxis, Vans and LMV - Number of Road Accidents","Cars, Taxis, Vans and LMV - Number of Persons - Killed","Cars, Taxis, Vans and LMV - Number of Persons - Greviously Injured","Cars, Taxis, Vans and LMV - Number of Persons - Minor Injured",Trucks/Lorries - Number of Road Accidents,Trucks/Lorries - Number of Persons - Killed,Trucks/Lorries - Number of Persons - Greviously Injured,Trucks/Lorries - Number of Persons - Minor Injured,Buses - Number of Road Accidents,Buses - Number of Persons - Killed,Buses - Number of Persons - Greviously Injured,Buses - Number of Persons - Minor Injured,Other Non-motorized vehicle (E-rickshaw etc.) - Number of Road Accidents,Other Non-motorized vehicle (E-rickshaw etc.) - Number of Persons - Killed,Other Non-motorized vehicle (E-rickshaw etc.) - Number of Persons - Greviously Injured,Other Non-motorized vehicle (E-rickshaw etc.) - Number of Persons - Minor Injured,Others - Number of Road Accidents,Others - Number of Persons - Killed,Others - Number of Persons - Greviously Injured,Others - Number of Persons - Minor Injured,Total - Number of Road Accidents,Total - Number of Persons - Killed,Total - Number of Persons - Greviously Injured,Total - Number of Persons - Minor Injured
Andhra Pradesh,3397,1346,809,1546,428,194,120,183,11853,4634,3200,8298,1478,548,558,2143,2116,596,443,1609,1166,374,314,653,305,127,63,493,43,10,9,48,770,357,81,470,21556,8186,5597,15443
Arunachal Pradesh,5,2,4,2,0,0,0,0,121,78,121,39,18,8,24,9,97,53,61,28,24,9,12,15,18,7,15,17,0,0,0,0,0,0,0,0,283,157,237,110
Assam,1538,713,843,109,384,257,259,105,2196,997,1422,113,528,106,512,34,1301,455,1012,102,624,175,473,15,314,134,387,40,234,101,145,10,292,98,159,23,7411,3036,5212,551
Bihar,3288,2798,1883,61,625,495,543,27,3123,2657,2586,163,558,404,781,40,752,504,732,38,248,125,127,11,135,71,159,4,145,97,135,13,679,509,627,16,9553,7660,7573,373
Chhattisgarh,1640,701,214,912,435,154,67,259,7093,3375,1009,5422,140,59,20,128,1606,336,107,1227,544,265,48,408,68,29,5,140,21,2,0,18,828,450,71,628,12375,5371,1541,9142
Goa,82,36,19,24,13,6,2,4,1346,133,139,379,15,0,3,0,953,17,39,154,317,8,8,32,47,1,1,5,0,0,0,0,76,25,7,27,2849,226,218,625
Gujarat,2674,1473,975,489,281,111,125,58,6900,3522,3866,2528,976,376,642,529,2250,939,1305,1264,1300,570,510,493,248,79,175,269,72,42,54,44,485,340,197,167,15186,7452,7849,5841
Haryana,2568,1233,502,1333,274,122,62,183,4195,1826,637,2494,260,219,77,268,1338,563,247,892,439,256,95,236,142,68,73,162,88,31,35,75,629,388,234,516,9933,4706,1962,6159
Himachal Pradesh,534,164,271,213,23,9,8,6,433,268,489,531,2,2,8,7,932,471,361,1007,293,80,58,190,57,23,24,226,0,0,0,0,130,35,18,37,2404,1052,1237,2217
Jharkhand,680,496,275,40,190,135,75,12,1605,1222,944,342,366,249,259,42,742,510,460,86,550,383,185,30,113,90,89,18,179,143,159,26,303,285,156,29,4728,3513,2602,625
