States/UTs,Number of Fatal Road Accidents on National Highways 2018,Number of Fatal Road Accidents on National Highways 2019,Number of Fatal Road Accidents on National Highways 2020,Number of Fatal Road Accidents on National Highways 2021 - Number,Number of Fatal Road Accidents on National Highways 2021 - Rank
Andhra Pradesh,2643,2760,2617,3226,7
Arunachal Pradesh,43,43,28,85,26
Assam,1501,1572,1225,1479,16
Bihar,2801,3205,3004,3242,5
Chhattisgarh,1220,1279,1221,1505,15
Goa,98,103,59,79,27
Gujarat,1913,1697,1612,1867,11
Haryana,1966,1662,1483,1729,13
Himachal Pradesh,377,388,266,381,20
Jharkhand,1027,1419,1157,1357,17
Karnataka,3571,3411,3039,3228,6
Kerala,1147,1158,831,912,18
Madhya Pradesh,2349,2602,2614,3033,8
Maharashtra,3591,3432,3232,3678,3
Manipur,79,104,82,66,28
Meghalaya,71,85,75,91,24
Mizoram,14,17,18,22,31
Nagaland,15,18,22,26,29
Odisha,1939,1820,1631,1812,12
Punjab,1969,1599,1477,1714,14
Rajasthan,3372,3308,2847,3270,4
Sikkim,16,20,10,21,32
Tamil Nadu,4058,3605,2935,4944,2
Telangana,1863,2272,2394,2507,9
Tripura,69,93,73,86,25
Uttarakhand,498,370,320,393,19
Uttar Pradesh,7677,7760,7031,7630,1
West Bengal,1938,1822,1651,1989,10
Andaman and Nicobar Islands,7,7,6,5,34
Chandigarh,17,13,6,21,32
Dadra and Nagar Haveli,0,0,0,0,35
Daman and Diu,0,0,NA,NA,NA
Delhi,258,268,143,200,22
Jammu and Kashmir,333,304,234,234,21
Ladakh,NA,NA,NA,24,30
Lakshadweep,0,0,0,0,35
Puducherry,110,75,69,97,23
Total,48550,48291,43412,50953,NA
