States/UTs,Total Number of Fatal Road Accidents on State Highways 2018,Total Number of Fatal Road Accidents on State Highways 2019,Total Number of Fatal Road Accidents on State Highways 2020,Total Number of Fatal Road Accidents on State Highways 2021
Andhra Pradesh,1736,1903,1580,1781
Arunachal Pradesh,45,41,17,36
Assam,612,617,596,601
Bihar,1368,1316,1282,1598
Chhattisgarh,948,1073,873,924
Goa,23,32,28,30
Gujarat,2126,2004,1704,2150
Haryana,1362,1140,903,891
Himachal Pradesh,190,190,131,161
Jharkhand,1035,937,830,724
Karnataka,2782,2908,2685,2609
Kerala,817,911,583,731
Madhya Pradesh,2863,2746,2534,2674
Maharashtra,3057,3009,2729,3151
Manipur,29,32,15,21
Meghalaya,6,22,13,29
Mizoram,12,25,23,26
Nagaland,10,2,16,16
Odisha,1331,1363,1110,1001
Punjab,1339,1201,993,1266
Rajasthan,1692,1806,1584,1687
Sikkim,31,19,12,14
Tamil Nadu,3995,3181,2736,4911
Telangana,1054,817,700,807
Tripura,63,69,63,56
Uttarakhand,166,209,132,152
Uttar Pradesh,6346,5987,5184,5669
West Bengal,1264,1255,1005,1106
Andaman and Nicobar Islands,6,5,3,3
Chandigarh,0,0,0,0
Dadra and Nagar Haveli,22,27,18,28
Daman and Diu,0,1,NA,NA
Delhi,0,0,0,0
Jammu and Kashmir,89,80,59,59
Ladakh,NA,NA,NA,18
Lakshadweep,0,0,0,0
Puducherry,10,30,30,16
Total,36429,34958,30171,34946
