States/UTs,Total Number of Persons Injured in Road Accidents on State Highways during 2018,Total Number of Persons Injured in Road Accidents on State Highways during 2019,Total Number of Persons Injured in Road Accidents on State Highways during 2020,Total Number of Persons Injured in Road Accidents on State Highways during 2021
Andhra Pradesh,6084,5949,4830,4786
Arunachal Pradesh,109,117,60,106
Assam,2010,1869,1416,1460
Bihar,1453,1628,1372,1927
Chhattisgarh,2866,2906,1831,2056
Goa,179,159,130,103
Gujarat,4852,4628,3573,4350
Haryana,2715,1871,1421,1334
Himachal Pradesh,1147,934,530,784
Jharkhand,1249,1046,1028,733
Karnataka,14544,14169,11791,11507
Kerala,8756,9335,6518,8161
Madhya Pradesh,15692,13626,12547,12052
Maharashtra,7028,6465,4336,5078
Manipur,359,327,176,99
Meghalaya,2,24,13,48
Mizoram,33,29,26,38
Nagaland,87,46,72,82
Odisha,3251,3186,2003,2129
Punjab,906,1003,918,994
Rajasthan,3478,3890,2872,3385
Sikkim,181,125,71,79
Tamil Nadu,26739,22477,18780,18409
Telangana,4001,2614,2015,2075
Tripura,289,288,166,243
Uttarakhand,427,370,218,238
Uttar Pradesh,9545,9272,6776,7155
West Bengal,2536,2389,1832,1935
Andaman and Nicobar Islands,98,56,28,25
Chandigarh,0,0,0,0
Dadra and Nagar Haveli,23,33,25,66
Daman and Diu,0,5,NA,NA
Delhi,0,0,0,0
Jammu and Kashmir,794,746,738,958
Ladakh,NA,NA,NA,71
Lakshadweep,0,0,0,0
Puducherry,146,249,96,117
Total,121579,111831,88208,92583
