States/UTs,Total Number of  Persons Killed in Road Accidents on State Highways during 2018,Total Number of  Persons Killed in Road Accidents on State Highways during 2019,Total Number of  Persons Killed in Road Accidents on State Highways during 2020,Total Number of  Persons Killed in Road Accidents on State Highways during 2021 - Number,Total Number of  Persons Killed in Road Accidents on State Highways during 2021 - Rank
Andhra Pradesh,1897,2036,1704,1904,8
Arunachal Pradesh,58,44,22,39,23
Assam,681,659,635,629,18
Bihar,1474,1449,1409,1747,9
Chhattisgarh,1068,1166,956,998,13
Goa,25,34,30,30,26
Gujarat,2477,2226,1908,2391,6
Haryana,1486,1147,914,902,14
Himachal Pradesh,241,220,163,203,19
Jharkhand,1139,1019,935,795,16
Karnataka,3058,3178,2899,2777,5
Kerala,876,979,629,768,17
Madhya Pradesh,3180,3073,2919,3022,4
Maharashtra,3446,3344,2971,3411,3
Manipur,30,35,16,21,28
Meghalaya,6,20,13,39,23
Mizoram,14,25,22,33,25
Nagaland,13,4,13,16,32
Odisha,1475,1503,1179,1099,12
Punjab,1418,1302,1112,1363,10
Rajasthan,1925,2041,1802,1945,7
Sikkim,45,22,16,18,31
Tamil Nadu,4285,3418,2893,5112,2
Telangana,1165,902,759,864,15
Tripura,72,70,67,60,22
Uttarakhand,266,253,146,174,20
Uttar Pradesh,7179,6816,5825,6266,1
West Bengal,1435,1341,1085,1187,11
Andaman and Nicobar Islands,6,5,3,4,33
Chandigarh,0,0,0,0,34
Dadra and Nagar Haveli,22,28,18,29,27
Daman and Diu,0,4,NA,NA,NA
Delhi,0,0,0,0,34
Jammu and Kashmir,108,89,68,78,21
Ladakh,NA,NA,NA,20,29
Lakshadweep,0,0,0,0,34
Puducherry,10,20,17,19,30
Total,40580,38472,33148,37963,NA
