States/UTs,State/UT-Wise Total Number of Road Accidents during 2018,State/UT-Wise Total Number of Road Accidents during 2019,State/UT-Wise Total Number of Road Accidents during 2020,State/UT-Wise Total Number of Road Accidents during 2021 - Numbers,State/UT-Wise Total Number of Road Accidents during 2021 - Rank,Share of States/UTs in Total Number of Road Accidents - 2018,Share of States/UTs in Total Number of Road Accidents - 2019,Share of States/UTs in Total Number of Road Accidents - 2020,Share of States/UTs in Total Number of Road Accidents - 2021,Total Number of Accidents Per Lakh Population - 2018,Total Number of Accidents Per Lakh Population - 2019,Total Number of Accidents Per Lakh Population - 2020,Total Number of Accidents Per Lakh Population - 2021,"Total Number of  Road Accidents per 10,000 Vehicles - 2018","Total Number of  Road Accidents per 10,000 Vehicles - 2019","Total Number of  Road Accidents per 10,000 Vehicles - 2020","Total Number of  Road Accidents per 10,000 Km of Roads - 2018","Total Number of  Road Accidents per 10,000 Km of Roads - 2019"
Andhra Pradesh,24475,21992,19509,21556,7,5.2,4.9,5.3,5.2,27.3,24.3,21.5,40.8,22.7,18.3,14.9,1121.7,1247.1
Arunachal Pradesh,277,237,134,283,28,0.1,0.1,0.0,0.1,20.7,17.5,9.8,18.5,13.2,10.3,5.8,54.8,42.9
Assam,8248,8350,6595,7411,16,1.8,1.9,1.8,1.8,24.9,24.9,19.5,21.1,24.0,21.2,15.1,240.0,209.2
Bihar,9600,10007,8639,9553,15,2.1,2.2,2.4,2.3,9.0,9.3,8.0,7.8,13.0,11.7,8.7,330.4,335.6
Chhattisgarh,13864,13899,11656,12375,11,3.0,3.1,3.2,3.0,52.3,51.9,43.1,42.0,23.9,21.8,16.7,1351.6,1322.8
Goa,3709,3440,2375,2849,21,0.8,0.8,0.6,0.7,179.4,162.5,109.4,182.7,28.0,24.5,16.3,1993.3,1839.8
Gujarat,18769,17046,13398,15186,10,4.0,3.8,3.7,3.7,29.2,26.3,20.4,21.8,7.9,6.8,5.0,930.3,683.6
Haryana,11238,10944,9431,9933,14,2.4,2.4,2.6,2.4,39.8,38.2,32.5,33.7,14.5,12.7,11.0,2246.7,2176.1
Himachal Pradesh,3110,2873,2239,2404,22,0.7,0.6,0.6,0.6,43.2,39.6,30.6,32.5,20.8,17.6,13.1,502.4,392.3
Jharkhand,5394,5217,4405,4728,19,1.2,1.2,1.2,1.1,15.6,15.0,12.5,12.3,13.4,11.4,8.7,682.2,642.1
Karnataka,41707,40658,34178,34647,4,8.9,9.1,9.3,8.4,65.7,63.6,53.1,51.8,21.5,19.3,13.1,1176.5,1134.7
Kerala,40181,41111,27877,33296,5,8.6,9.2,7.6,8.1,111.4,113.4,76.6,93.8,32.6,30.8,19.7,1562.9,1581.6
Madhya Pradesh,51397,50669,45266,48877,2,11.0,11.3,12.4,11.9,64.2,62.5,55.1,57.8,38.9,38.4,25.3,1412.1,1388.0
Maharashtra,35717,32925,24971,29477,6,7.6,7.3,6.8,7.1,29.1,26.5,19.9,23.7,10.9,9.3,6.6,570.1,517.0
Manipur,601,672,432,366,27,0.1,0.1,0.1,0.1,22.7,25.1,16.0,11.6,19.5,18.6,11.9,206.0,207.5
Meghalaya,399,482,214,245,29,0.1,0.1,0.1,0.1,14.1,16.9,7.4,7.5,12.0,13.2,5.9,91.0,119.7
Mizoram,53,62,53,69,35,0.0,0.0,0.0,0.0,4.9,5.7,4.8,5.7,2.5,2.7,2.0,39.6,38.2
Nagaland,430,358,500,746,25,0.1,0.1,0.1,0.2,17.7,14.6,20.2,34.0,9.6,7.3,9.6,117.2,94.5
Odisha,11262,11064,9817,10983,13,2.4,2.5,2.7,2.7,26.1,25.5,22.4,24.9,15.2,13.4,10.8,365.7,362.0
Punjab,6428,6348,5203,5871,17,1.4,1.4,1.4,1.4,21.7,21.3,17.3,19.4,6.6,6.0,4.6,450.7,429.3
Rajasthan,21743,23480,19114,20951,9,4.7,5.2,5.2,5.1,29.0,31.0,24.9,26.4,13.4,13.3,9.9,693.8,749.0
Sikkim,180,162,138,155,32,0.0,0.0,0.0,0.0,27.3,24.3,20.5,22.9,29.3,22.6,25.5,133.2,133.0
Tamil Nadu,63920,57228,45484,55682,1,13.7,12.7,12.4,13.5,91.3,81.4,64.4,72.9,22.8,19.0,14.2,2367.3,2110.7
Telangana,22230,21570,19172,21315,8,4.8,4.8,5.2,5.2,NA,NA,NA,NA,20.3,17.8,14.9,1735.8,1534.6
Tripura,552,655,466,479,26,0.1,0.1,0.1,0.1,14.1,16.6,11.7,11.8,12.7,13.2,8.5,127.7,145.2
Uttarakhand,1468,1352,1041,1405,23,0.3,0.3,0.3,0.3,13.5,12.3,9.4,12.3,5.9,4.9,3.6,277.8,196.7
Uttar Pradesh,42568,42572,34243,37729,3,9.1,9.5,9.4,9.1,18.9,18.7,14.8,16.3,14.5,13.0,9.8,975.6,961.2
West Bengal,12705,10158,9180,11937,12,2.7,2.3,2.5,2.9,13.4,10.6,9.5,12.2,14.8,10.4,8.4,386.0,357.8
Andaman and Nicobar Islands,254,230,141,115,34,0.1,0.1,0.0,0.0,44.2,39.1,23.5,28.8,19.4,16.3,9.4,1415.7,1271.5
Chandigarh,316,305,159,208,31,0.1,0.1,0.0,0.1,16.3,15.0,7.5,17.2,3.3,3.0,1.5,1244.4,1185.5
Dadra and Nagar Haveli,80,68,100,140,33,0.0,0.0,0.0,0.0,17.7,14.5,20.6,23.0,6.8,5.5,3.7,674.0,600.3
Daman and Diu,76,69,NA,NA,NA,0.0,0.0,0.0,0.0,21.2,18.4,0.0,0.0,NA,NA,NA,2074.9,2519.2
Delhi,6515,5610,4178,4720,20,1.4,1.2,1.1,1.1,28.9,24.2,17.5,22.9,6.1,4.9,3.5,3702.5,3469.3
Jammu and Kashmir,5978,5796,4860,5452,18,1.3,1.3,1.3,1.3,47.2,45.4,37.7,40.7,35.7,31.3,24.7,550.1,482.9
Ladakh,NA,NA,NA,236,30,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lakshadweep,3,1,1,4,36,0.0,0.0,0.0,0.0,3.6,1.2,1.2,5.9,1.7,0.6,0.4,133.7,43.1
Puducherry,1597,1392,969,1049,24,0.3,0.3,0.3,0.3,88.8,74.5,49.8,66.8,16.0,13.1,8.7,3720.1,3241.8
Total,467044,449002,366138,412432,NA,100,100,100,100,36.0,34.2,27.6,31.2,17.1,15.1,11.2,878.6,826.6
