State/UT,Fatal Accidents - 2018,Fatal Accidents - 2019,Fatal Accidents - 2020,Fatal Accidents - 2021,Accidents - 2018,Accidents - 2019,Accidents - 2020,Accidents - 2021 - Number,Accidents - 2021 - Rank,Killed - 2018,Killed - 2019,Killed - 2020,Killed - 2021 - Number,Killed - 2021 - Rank,Injured - 2018,Injured - 2019,Injured - 2020,Injured - 2021 - Number,Injured - 2021 - Rank
Andhra Pradesh,2619,2726,2334,2578,9955,9022,7834,8611,9,2730,2834,2477,2680,10,9121,10019,7630,7931,9
Arunachal Pradesh,46,24,16,29,94,52,28,61,29,61,29,19,31,29,109,54,42,91,28
Assam,716,830,662,813,2174,2260,1880,2221,18,744,859,672,833,19,1976,1979,1484,1672,18
Bihar,2075,2210,1911,2221,3495,3536,2827,3089,16,2204,2320,2005,2396,12,2455,2282,2104,2485,17
Chhattisgarh,2049,2251,2140,2553,6733,7078,6022,6599,11,2140,2416,2260,2710,9,6257,6643,5599,5721,11
Goa,127,148,126,109,1953,1773,1260,1289,21,133,156,132,113,23,829,915,488,512,22
Gujarat,3137,3025,2306,2808,9820,8977,6517,7386,10,3348,3266,2465,2984,8,8938,8518,5669,6559,10
Haryana,1478,1882,1795,1783,3654,5196,4520,5097,13,1544,2009,1930,2038,14,3968,4654,3851,4273,13
Himachal Pradesh,359,352,337,329,1005,899,771,708,22,497,439,416,424,21,1845,1642,1101,1025,20
Jharkhand,1199,1058,788,1140,2092,1685,1311,1797,19,1281,1228,868,1222,17,1503,1289,1037,1356,19
Karnataka,3740,3741,3360,3621,17384,16849,13483,14365,5,3946,3938,3531,3774,7,20515,19443,14570,16018,4
Kerala,2105,2114,1409,1619,23468,23555,15407,17958,3,2179,2202,1463,1686,15,26241,26010,16638,19630,3
Madhya Pradesh,4509,4834,4726,5099,27520,27063,23649,26372,1,4925,5272,5200,5646,3,28915,28828,24195,26436,1
Maharashtra,5450,5346,4812,5725,18607,17351,12952,15648,4,5727,5645,5070,6037,2,15880,14900,10325,12092,5
Manipur,14,10,15,12,66,74,53,55,30,16,10,21,12,32,98,126,86,85,29
Meghalaya,88,62,42,30,272,107,65,46,31,103,70,50,36,27,167,64,47,40,33
Mizoram,13,4,0,0,17,5,1,0,36,16,4,0,0,36,15,2,16,0,36
Nagaland,10,4,8,14,75,54,75,115,26,14,4,11,14,31,68,50,46,58,30
Orissa,1591,1661,1650,1943,3951,3721,3779,4557,14,1841,1830,1778,2049,13,4049,3632,3398,4133,14
Punjab,1171,1390,1176,1270,1731,2110,1688,1758,20,1237,1530,1294,1276,16,896,1355,1012,978,21
Rajasthan,4231,4357,3932,4098,11513,12773,10093,10967,8,4521,4652,4128,4269,5,11046,12087,8801,9894,7
Sikkim,4,22,12,5,32,56,54,29,34,9,22,17,15,30,73,98,86,55,31
Tamil Nadu,3322,3027,1888,4892,21488,20316,13002,20157,2,3439,3151,1963,5009,4,23782,22890,14325,19991,2
Telangana,3134,3383,3335,3766,12222,11717,10360,11909,7,3374,3571,3503,3958,6,12563,11794,9997,11116,6
Tripura,62,62,43,39,178,194,108,109,27,64,63,47,40,26,225,231,122,97,27
Uttarakhand,133,171,140,197,310,348,297,400,23,150,186,163,216,22,385,382,234,307,24
Uttar Pradesh,5341,5984,4860,5727,12582,12989,9993,12093,6,6259,7009,5465,6455,1,9207,8760,6648,8230,8
West Bengal,1983,2043,1926,2310,6166,4218,3867,5990,12,2126,2157,2032,2436,11,5258,3654,3223,4949,12
Andaman and Nicobar Islands,5,8,3,11,60,91,65,43,32,5,8,3,11,33,63,77,62,28,34
Chandigarh,80,87,44,73,270,269,144,179,25,82,91,47,75,24,265,248,136,151,25
Dadra and Nagar Haveli,30,21,43,43,47,33,67,84,28,32,21,46,47,25,43,72,94,105,26
Daman and Diu,34,22,NA,NA,76,68,NA,NA,NA,35,24,NA,NA,NA,94,69,NA,NA,NA
Delhi,1399,1165,1020,1006,5732,4753,3718,4263,15,1427,1185,1047,1038,18,5382,4410,3276,3846,15
Jammu and Kashmir,387,378,330,349,3196,3105,2732,2891,17,476,523,402,428,20,4289,4166,3416,3839,16
Ladakh,NA,NA,NA,6,NA,NA,NA,35,33,NA,NA,NA,9,34,NA,NA,NA,52,32
Lakshadweep,1,0,0,1,3,1,1,4,35,1,0,0,1,35,3,1,1,6,35
Puducherry,105,38,34,45,690,537,264,340,24,105,45,57,34,28,694,637,414,339,23
Total,52747,54440,47223,56264,208631,202835,158887,187225,NA,56791,58769,50582,60002,NA,207217,201981,150173,174100,NA
