States/UTs,2006,2007,2008,2009,2010,2011,2012,2013,2014
Andhra Pradesh,17468,18859,15320,17465,17996,19081,14578,17355,7815
Arunachal Pradesh,177,110,212,138,165,140,147,242,149
Assam,2575,2579,2776,2938,3741,3951,4174,4112,4186
Bihar,2048,2677,3661,3968,3908,4746,5124,4470,4580
Chhattisgarh,5883,5492,5849,5616,6341,6402,6183,5824,6049
Goa,1507,1582,1935,1841,2334,1906,1752,1920,1904
Gujarat,11893,12755,14500,11845,11287,10797,10382,9434,8597
Haryana,3182,4214,4043,4199,3898,3907,3221,3485,3628
Himachal Pradesh,993,960,1077,1116,1198,1153,1012,1093,1138
Jammu & Kashmir,1885,2191,2874,2745,1982,2738,2540,2601,2421
Jharkhand,2221,1909,2044,2027,2367,2378,2496,2546,2547
Karnataka,21683,22236,21713,20433,21841,18159,17797,18541,16617
Kerala,14234,15629,14561,13851,13712,13765,14147,13775,14171
Madhya Pradesh,19515,23033,22927,23591,25596,25937,26726,26253,27474
Maharashtra,47843,47329,46895,46520,41409,39676,38227,36069,36473
Manipur,326,378,409,154,238,245,502,246,166
Meghalaya,270,122,117,140,221,305,354,346,311
Mizoram,51,46,67,51,77,39,47,46,70
Nagaland,137,159,54,42,35,39,32,50,248
Odisha,3642,3594,3820,3980,4397,4550,4378,4500,4405
Punjab,1633,2181,1942,2059,2247,2255,2175,2404,2641
Rajasthan,10838,8728,8582,8865,8880,8923,8407,8653,8964
Sikkim,51,47,68,160,72,127,53,80,146
Tamil Nadu,22301,24319,24302,29076,26955,28387,28224,27333,24869
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,10328
Tripura,292,287,218,173,205,292,377,398,325
Uttarakhand,689,711,704,823,790,729,796,649,735
Uttar Pradesh,8357,10182,11611,12665,14453,13801,15715,15964,18605
West Bengal,5569,5308,5813,5163,8694,8550,6025,5694,6892
Andaman & Nicobar Islands,80,110,120,175,149,53,74,61,131
Chandigarh,480,486,416,392,398,367,367,327,336
Dadra & Nagar Haveli,24,40,30,19,22,15,14,48,19
Daman & Diu,17,35,13,23,10,13,15,16,16
Delhi,8511,8197,8435,7516,7260,7281,6937,7566,8623
Lakshadweep,0,0,0,0,0,0,0,0,0
Puducherry,687,727,901,918,879,748,935,782,836
All India,217062,227212,228009,230687,233757,231455,223933,222883,226415
